case_id,era,total_processing_time_hrs,n_stages_touched,n_events,had_exception,had_rework,had_sla_breach,requested_amount,risk_flag
c12_188825,pre_2012,350.22234722222225,4,32,1,1,1,6000,1
c17_Application_855923572,post_2017,191.43177722222222,4,12,0,0,0,25000.0,0
c12_187334,pre_2012,0.00013638888888888888,2,3,1,0,0,10000,1
c17_Application_1767149478,post_2017,470.78538555555554,4,17,1,1,1,20000.0,1
c12_187304,pre_2012,435.5780227777778,4,26,0,1,0,25000,0
c17_Application_1221068437,post_2017,139.32014416666667,4,12,0,0,0,25000.0,0
c17_Application_1800969554,post_2017,259.8405619444444,4,12,0,0,0,10000.0,0
c12_176185,pre_2012,473.7299291666667,4,22,1,1,0,37000,1
c17_Application_554735160,post_2017,311.12046694444444,4,12,0,0,0,20000.0,0
c12_196506,pre_2012,442.39292527777775,4,28,0,1,0,7500,0
c12_196458,pre_2012,442.8753672222222,4,26,0,1,0,5000,0
c17_Application_603167283,post_2017,217.315,4,12,0,0,0,15000.0,0
c17_Application_111244812,post_2017,233.36547222222222,4,12,0,0,0,0.0,0
c17_Application_703869260,post_2017,20.024265,4,9,1,0,0,15000.0,1
c12_211299,pre_2012,110.73130944444443,1,27,0,1,0,7000,0
c17_Application_269993344,post_2017,341.68407916666666,4,12,0,0,0,5000.0,0
c17_Application_901633533,post_2017,208.71715388888887,4,12,0,0,0,0.0,0
c12_199519,pre_2012,395.95157694444447,4,26,0,1,0,26000,0
c17_Application_520700002,post_2017,216.31881666666666,4,12,0,0,0,0.0,0
c17_Application_1815342522,post_2017,313.5327866666667,4,12,0,0,0,8000.0,0
c17_Application_776906675,post_2017,862.0720477777778,4,14,1,1,1,20000.0,1
c17_Application_295533034,post_2017,238.83676888888888,4,12,0,0,0,7500.0,0
c17_Application_662107856,post_2017,334.9173480555555,4,12,0,0,0,26000.0,0
c17_Application_1818234276,post_2017,77.48254027777777,4,18,1,1,1,5000.0,1
c17_Application_766473476,post_2017,21.68539416666667,4,12,1,1,1,20000.0,1
c12_185506,pre_2012,338.97846888888887,4,28,0,1,0,25000,0
